1: EL14_CMN_0001	GMW_CMN_20100929.0076	陕北公学	E0278626	
2: EL14_CMN_0002	XIN_ENG_20091016.0298	Ma Ying-jeou	NIL0001	
3: EL14_CMN_0003	bolt-cmn-DF-205-185863-591820	海峡两岸关系协会	NIL0002	
4: EL14_CMN_0004	XIN_CMN_20091011.0178	阜新	E0627968	
5: EL14_CMN_0005	XIN_CMN_20060105.0091	蔡卓妍	E0658902	
6: EL14_CMN_0006	XIN_CMN_19920404.0132	张汉卿	NIL0003	
7: EL14_CMN_0007	XIN_ENG_20100415.0423	Yao Ming	NIL0004	
8: EL14_CMN_0008	bolt-cmn-DF-211-187144-4881115	大姚	E0186112	
9: EL14_CMN_0009	PDA_CMN_20080418.0225	小帅虎	NIL0005	
10: EL14_CMN_0010	PDA_CMN_20080213.0133	华盛顿哥 伦比亚特区	NIL0006	
11: EL14_CMN_0011	AFP_ENG_20100512.0572	foreign ministry	NIL0007	
12: EL14_CMN_0012	NYT_ENG_20100708.0129	FL	NIL0008	
13: EL14_CMN_0013	CNS_CMN_20101220.0537	长岗	NIL0009	
14: EL14_CMN_0014	bolt-cmn-DF-182-192249-6426481	孙中山	E0530774	
15: EL14_CMN_0015	bolt-cmn-DF-205-185872-1171248	怒吼天尊	NIL0010	
16: EL14_CMN_0016	CNS_CMN_20100127.0802	残联	NIL0011	
17: EL14_CMN_0017	bolt-cmn-DF-182-192251-6379094	北京大学	E0739779	
18: EL14_CMN_0018	XIN_CMN_20040626.0059	儿童医院	NIL0012	
19: EL14_CMN_0019	bolt-cmn-DF-205-185872-1180300	小甜甜	NIL0013	
20: EL14_CMN_0020	CNS_CMN_20100303.0279	赵匡胤	NIL0014	
21: EL14_CMN_0021	CNA_ENG_20101029.0048	Da S	NIL0015	
22: EL14_CMN_0022	bolt-cmn-DF-205-185863-574782	李登辉	E0779250	
23: EL14_CMN_0023	PDA_CMN_20080612.0224	宝山	NIL0016	
24: EL14_CMN_0024	PDA_CMN_20080220.0043	秋官	E0358739	
25: EL14_CMN_0025	XIN_CMN_20030208.0039	洪武皇帝	NIL0017	
26: EL14_CMN_0026	bolt-cmn-DF-182-192231-4914877	大S	E0230939	
27: EL14_CMN_0027	AFP_CMN_20100805.0024	Hawaii	E0290954	
28: EL14_CMN_0028	bolt-cmn-DF-20-191611-3888181	阿诺施瓦辛格	NIL0018	
29: EL14_CMN_0029	bolt-cmn-DF-205-185863-585397	海协会	NIL0019	
30: EL14_CMN_0030	PDA_CMN_20090819.0495	平川	NIL0020	
31: EL14_CMN_0031	bolt-eng-DF-200-192448-6198775	World Bank	NIL0021	
32: EL14_CMN_0032	bolt-cmn-DF-20-191622-4026778	中科院	NIL0022	
33: EL14_CMN_0033	CNA_CMN_20091015.0119	香港特別行政區	E0112363	
34: EL14_CMN_0034	bolt-cmn-DF-205-185863-599286	东盟	E0539471	
35: EL14_CMN_0035	GMW_CMN_20100527.0225	江城	E0433200	
36: EL14_CMN_0036	XIN_ENG_20091209.0190	ROK	NIL0023	
37: EL14_CMN_0037	XIN_CMN_20101104.0153	大鸟	NIL0024	
38: EL14_CMN_0038	PDA_CMN_20100620.0271	侨联	NIL0025	
39: EL14_CMN_0039	CNS_CMN_20100906.0069	深圳	E0585189	
40: EL14_CMN_0040	AFP_CMN_20060222.0008	华府	NIL0026	
41: EL14_CMN_0041	CNS_CMN_20100422.0901	儿童医院	NIL0027	
42: EL14_CMN_0042	bolt-cmn-DF-20-191613-3835738	周公	NIL0028	
43: EL14_CMN_0043	AFP_ENG_20100228.0445	Russia	E0349508	
44: EL14_CMN_0044	XIN_CMN_20060914.0150	矿	NIL0029	
45: EL14_CMN_0045	PDA_CMN_20100809.0285	亚洲舞王	NIL0030	
46: EL14_CMN_0046	XIN_ENG_20100205.0255	Larry Bird	NIL0031	
47: EL14_CMN_0047	bolt-cmn-DF-182-192251-6383663	米国	NIL0032	
48: EL14_CMN_0048	PDA_CMN_20091111.0594	同济	E0449812	
49: EL14_CMN_0049	CNS_CMN_20101125.0034	四娘	NIL0033	
50: EL14_CMN_0050	bolt-cmn-DF-21-181074-2172	圣路易斯	NIL0034	
51: EL14_CMN_0051	CNS_CMN_20101115.0535	司马迁	NIL0035	
52: EL14_CMN_0052	CNS_CMN_20100412.0068	通州	NIL0036	
53: EL14_CMN_0053	AFP_CMN_20100111.0011	奥兰多	NIL0037	
54: EL14_CMN_0054	AFP_ENG_20091224.0326	foreign ministry	NIL0038	
55: EL14_CMN_0055	bolt-cmn-DF-196-185735-125025	中国作家协会	NIL0039	
56: EL14_CMN_0056	XIN_CMN_19971229.0059	妇幼保健院	NIL0040	
57: EL14_CMN_0057	AFP_CMN_20091204.0046	老虎伍兹	NIL0041	
58: EL14_CMN_0058	bolt-cmn-DF-205-185863-575781	宋庆龄	E0487361	
59: EL14_CMN_0059	bolt-eng-DF-212-191667-3079726	Xingjiang	NIL0042	
60: EL14_CMN_0060	bolt-cmn-DF-20-191610-15132970	朱总司令	NIL0043	
61: EL14_CMN_0061	AFP_ENG_20091002.0367	General Electric	NIL0044	
62: EL14_CMN_0062	CNS_CMN_20100903.0167	东安	NIL0045	
63: EL14_CMN_0063	XIN_ENG_20100626.0040	embassy	NIL0046	
64: EL14_CMN_0064	PDA_CMN_20080326.0250	河南	E0141397	
65: EL14_CMN_0065	bolt-cmn-DF-21-181075-3296	薄熙来	E0259846	
66: EL14_CMN_0066	AFP_ENG_20100629.0669	foreign ministry	NIL0047	
67: EL14_CMN_0067	PDA_CMN_20101003.0007	外交部	NIL0048	
68: EL14_CMN_0068	AFP_CMN_20100111.0011	劳德岱堡	NIL0049	
69: EL14_CMN_0069	bolt-cmn-DF-20-191610-2207165	薄书记	NIL0050	
70: EL14_CMN_0070	XIN_CMN_20061112.0009	华南医学院	NIL0051	
71: EL14_CMN_0071	bolt-cmn-DF-21-181169-83368	杰伦	NIL0052	
72: EL14_CMN_0072	XIN_CMN_20060805.0016	唐三藏	E0570971	
73: EL14_CMN_0073	CNS_CMN_20100501.0208	儿童医院	NIL0053	
74: EL14_CMN_0074	CNS_CMN_20091028.0749	妇幼保健院	NIL0054	
75: EL14_CMN_0075	XIN_CMN_19920927.0091	大使馆	NIL0055	
76: EL14_CMN_0076	PDA_CMN_20070419.0148	战哥	NIL0056	
77: EL14_CMN_0077	CNA_ENG_20090727.0032	Macau Special Administrative Region	NIL0057	
78: EL14_CMN_0078	XIN_CMN_20091207.0149	东山	NIL0058	
79: EL14_CMN_0079	XIN_CMN_20070911.0054	西安	E0525166	
80: EL14_CMN_0080	XIN_CMN_19980412.0018	交通大学	E0469045	
81: EL14_CMN_0081	bolt-cmn-DF-20-191613-19973532	周副主席	NIL0059	
82: EL14_CMN_0082	XIN_CMN_20040916.0047	越南	E0571856	
83: EL14_CMN_0083	XIN_ENG_20100401.0331	Nantong	NIL0060	
84: EL14_CMN_0084	XIN_CMN_20020114.0087	吉林大学	E0487620	
85: EL14_CMN_0085	bolt-cmn-DF-205-185862-199383	吴奇隆	E0587840	
86: EL14_CMN_0086	CNS_CMN_20100122.0439	育才	NIL0061	
87: EL14_CMN_0087	XIN_ENG_20101221.0312	Russian Federation	NIL0062	
88: EL14_CMN_0088	AFP_ENG_20101228.0269	foreign ministry	NIL0063	
89: EL14_CMN_0089	APW_ENG_20090604.1408	Purdue	NIL0064	
90: EL14_CMN_0090	bolt-cmn-DF-20-191613-3837196	华国锋	E0171460	
91: EL14_CMN_0091	bolt-cmn-DF-205-185863-593607	联合国安理会	E0361097	
92: EL14_CMN_0092	AFP_CMN_20100119.0035	小威廉丝	NIL0065	
93: EL14_CMN_0093	CNS_CMN_20100514.0859	多伦多大学	E0265870	
94: EL14_CMN_0094	CNA_CMN_20090812.0377	秀英	NIL0066	
95: EL14_CMN_0095	bolt-cmn-DF-20-191610-2215943	薄	E0259846	
96: EL14_CMN_0096	XIN_CMN_20040619.0132	外交部	NIL0067	
97: EL14_CMN_0097	XIN_CMN_20080518.0192	残联	NIL0068	
98: EL14_CMN_0098	bolt-cmn-DF-20-191610-2215146	马总统	NIL0069	
99: EL14_CMN_0099	PDA_CMN_20100826.0258	威廉姆斯	NIL0070	
100: EL14_CMN_0100	CNS_CMN_20100927.0383	斯蒂夫·乔布斯	E0571493	
101: EL14_CMN_0101	NYT_ENG_20091119.0129	Denver	NIL0071	
102: EL14_CMN_0102	CNS_CMN_20090811.0105	俄国	E0349508	
103: EL14_CMN_0103	AFP_ENG_20090604.0560	Wal-Mart	NIL0072	
104: EL14_CMN_0104	bolt-cmn-DF-196-185692-2807678	黎小田	NIL0073	
105: EL14_CMN_0105	AFP_CMN_20100318.0048	肯塔基大学	E0487502	
106: EL14_CMN_0106	XIN_CMN_20070720.0161	穆托姆博	NIL0074	
107: EL14_CMN_0107	bolt-cmn-DF-20-191622-15303854	世贸组织	E0081133	
108: EL14_CMN_0108	XIN_CMN_19910306.0064	河东	NIL0075	
109: EL14_CMN_0109	XIN_ENG_20090920.0229	CPC	NIL0076	
110: EL14_CMN_0110	XIN_CMN_19930605.0084	全国残联	NIL0077	
111: EL14_CMN_0111	AFP_ENG_20090716.0165	Madonna	E0253936	
112: EL14_CMN_0112	APW_ENG_20090913.0268	Dover	NIL0078	
113: EL14_CMN_0113	PDA_CMN_20080318.0100	侨联	NIL0079	
114: EL14_CMN_0114	PDA_CMN_20070716.0265	广南	NIL0080	
115: EL14_CMN_0115	bolt-cmn-DF-213-191734-4662722	世界卫生组织	E0725535	
116: EL14_CMN_0116	bolt-cmn-DF-21-181074-2172	麻省	E0505048	
117: EL14_CMN_0117	bolt-cmn-DF-211-187115-4413167	刘翔	NIL0081	
118: EL14_CMN_0118	bolt-cmn-DF-182-192249-6413409	宁夏回族自治区	NIL0082	
119: EL14_CMN_0119	AFP_CMN_20001116.0027	老虎伍兹	NIL0083	
120: EL14_CMN_0120	bolt-eng-DF-200-192446-3808284	FIFA	E0679734	
121: EL14_CMN_0121	APW_ENG_20100512.1349	Tampa	NIL0084	
122: EL14_CMN_0122	PDA_CMN_20070905.0019	龙山	NIL0085	
123: EL14_CMN_0123	PDA_CMN_20071126.0138	结婚之城	NIL0086	
124: EL14_CMN_0124	bolt-cmn-DF-205-185872-1171744	HALLE BERRY	NIL0087	
125: EL14_CMN_0125	bolt-cmn-DF-205-185863-591380	马英九	E0229614	
126: EL14_CMN_0126	bolt-cmn-DF-196-185692-2808268	姚大傻	NIL0088	
127: EL14_CMN_0127	CNA_CMN_20090814.0234	洪秀柱	NIL0089	
128: EL14_CMN_0128	PDA_CMN_20091116.0195	希拉里・克林顿	NIL0090	
129: EL14_CMN_0129	bolt-eng-DF-200-192451-5796806	Deng Xiaoping	NIL0091	
130: EL14_CMN_0130	PLA_CMN_20091106.0026	巴拉克·奥巴马	NIL0092	
131: EL14_CMN_0131	XIN_CMN_19920612.0119	协和	NIL0093	
132: EL14_CMN_0132	bolt-cmn-DF-20-191610-3814838	李得胜	NIL0094	
133: EL14_CMN_0133	AFP_CMN_20100111.0011	Miami	NIL0095	
134: EL14_CMN_0134	bolt-cmn-DF-196-185667-3010606	金正银	NIL0096	
135: EL14_CMN_0135	CNA_CMN_20101213.0053	St. Paul	NIL0097	
136: EL14_CMN_0136	bolt-cmn-DF-211-187119-4766803	费玉清	NIL0098	
137: EL14_CMN_0137	bolt-cmn-DF-196-185692-2813296	徐熙媛	E0230939	
138: EL14_CMN_0138	XIN_CMN_19960430.0091	总工会	NIL0099	
