query_id	entity_id	entity_type
EL14_CMN_0001	E0278626	
EL14_CMN_0002	NIL0001	
EL14_CMN_0003	NIL0002	
EL14_CMN_0004	E0627968	
EL14_CMN_0005	E0658902	
EL14_CMN_0006	NIL0003	
EL14_CMN_0007	NIL0004	
EL14_CMN_0008	E0186112	
EL14_CMN_0009	NIL0005	
EL14_CMN_0010	NIL0006	
EL14_CMN_0011	NIL0007	
EL14_CMN_0012	NIL0008	
EL14_CMN_0013	NIL0009	
EL14_CMN_0014	E0530774	
EL14_CMN_0015	NIL0010	
EL14_CMN_0016	NIL0011	
EL14_CMN_0017	E0739779	
EL14_CMN_0018	NIL0012	
EL14_CMN_0019	NIL0013	
EL14_CMN_0020	NIL0014	
EL14_CMN_0021	NIL0015	
EL14_CMN_0022	E0779250	
EL14_CMN_0023	NIL0016	
EL14_CMN_0024	E0358739	
EL14_CMN_0025	NIL0017	
EL14_CMN_0026	E0230939	
EL14_CMN_0027	E0290954	
EL14_CMN_0028	NIL0018	
EL14_CMN_0029	NIL0019	
EL14_CMN_0030	NIL0020	
EL14_CMN_0031	NIL0021	
EL14_CMN_0032	NIL0022	
EL14_CMN_0033	E0112363	
EL14_CMN_0034	E0539471	
EL14_CMN_0035	E0433200	
EL14_CMN_0036	NIL0023	
EL14_CMN_0037	NIL0024	
EL14_CMN_0038	NIL0025	
EL14_CMN_0039	E0585189	
EL14_CMN_0040	NIL0026	
EL14_CMN_0041	NIL0027	
EL14_CMN_0042	NIL0028	
EL14_CMN_0043	E0349508	
EL14_CMN_0044	NIL0029	
EL14_CMN_0045	NIL0030	
EL14_CMN_0046	NIL0031	
EL14_CMN_0047	NIL0032	
EL14_CMN_0048	E0449812	
EL14_CMN_0049	NIL0033	
EL14_CMN_0050	NIL0034	
EL14_CMN_0051	NIL0035	
EL14_CMN_0052	NIL0036	
EL14_CMN_0053	NIL0037	
EL14_CMN_0054	NIL0038	
EL14_CMN_0055	NIL0039	
EL14_CMN_0056	NIL0040	
EL14_CMN_0057	NIL0041	
EL14_CMN_0058	E0487361	
EL14_CMN_0059	NIL0042	
EL14_CMN_0060	NIL0043	
EL14_CMN_0061	NIL0044	
EL14_CMN_0062	NIL0045	
EL14_CMN_0063	NIL0046	
EL14_CMN_0064	E0141397	
EL14_CMN_0065	E0259846	
EL14_CMN_0066	NIL0047	
EL14_CMN_0067	NIL0048	
